8,-9.5
8.1,-5.02046
8.2,-4.01847
8.3,-4.87917
8.4,-6.52527
8.5,-8.28198
8.6,-9.7661
8.7,-10.8002
8.8,-11.3449
8.9,-11.4467
9,-11.2
9.1,-10.7187
9.2,-10.1171
9.3,-9.49723
9.40001,-8.94155
9.50001,-8.50976
9.60001,-8.23835
9.70001,-8.14226
9.80001,-8.2179
9.90001,-8.44688
10,-8.80003
10.1,-9.24142
10.2,-9.73207
10.3,-10.2332
10.4,-10.7091
10.5,-11.1289
10.6,-11.4684
10.7,-11.7107
10.8,-11.8467
10.9,-11.8746
11,-11.8
11.1,-11.6341
11.2,-11.3933
11.3,-11.0976
11.4,-10.769
11.5,-10.4305
11.6,-10.1048
11.7,-9.81263
11.8,-9.57209
11.9,-9.39776
12,-9.29999
12.1,-9.28457
12.2,-9.35255
12.3,-9.50031
12.4,-9.71987
12.5,-9.99936
12.6,-10.3237
12.7,-10.6753
12.8,-11.035
12.9,-11.3831
13,-11.7001
13.1,-11.9677
13.2,-12.17
13.3,-12.2937
13.4,-12.3292
13.5,-12.2712
13.6,-12.1184
13.7,-11.8746
13.8,-11.5479
13.9,-11.1509
14,-10.6999
14.1,-10.2149
14.2,-9.71822
14.3,-9.23411
14.4,-8.78739
14.5,-8.40254
14.6,-8.10258
14.7,-7.90795
14.8,-7.83543
14.9,-7.89723
15,-8.10007
15.1,-8.44463
15.2,-8.925
15.3,-9.52857
15.4,-10.2361
15.5,-11.0219
15.6,-11.8549
15.7,-12.6992
15.8,-13.5155
15.9,-14.2629
16,-14.9002
16.1,-15.388
16.2,-15.6911
16.3,-15.7802
16.4,-15.6342
16.5,-15.2422
16.6,-14.6052
16.7,-13.737
16.8,-12.666
16.9,-11.4347
17,-10.0995
17.1,-8.72974
17.2,-7.40509
17.3,-6.21282
17.4,-5.24346
17.5,-4.58565
17.6,-4.32003
17.7,-4.51219
17.8,-5.20494
17.9,-6.41019
18,-8.10073
18.1,-10.2025
18.2,-12.5877
18.3,-15.0703
18.4,-17.4037
18.5,-19.2827
18.6,-20.3513
18.7,-20.2167
18.8,-18.4733
18.9,-14.7375
19,-8.69695
19.1,-0.176403
19.2,10.7751
19.3,23.7729
19.4,37.956
19.5,51.812
19.6,62.962
19.7,67.899
19.8,61.6719
19.9,37.5089
20,-13.6313
